Relation;Object;Related Term
UsedFor;tape_player;coercion_tactics
AtLocation;magnetic_tape;evidence_room
CapableOf;magnetic_tape;data_encryption
HasA;magnetic_tape;encrypted_storage
HasProperty;magnetic_tape;degraded_evidence
IsA;magnetic_tape;digital_evidence
UsedFor;magnetic_tape;data_destruction
AtLocation;bath;crime_scene_bathroom
Causes;bath;drowning
HasA;bath;hidden_drainage_system
HasProperty;bath;bloodstained_surface
IsA;bath;secondary_crime_scene
LocatedNear;bath;victim_clothing
UsedFor;bath;evidence_washing
AtLocation;nbc_weapon;hazardous_materials_storage
CapableOf;nbc_weapon;mass_casualty_induction
Causes;nbc_weapon;radiological_poisoning
HasA;nbc_weapon;biological_agent_container
HasProperty;nbc_weapon;highly_toxic
LocatedNear;nbc_weapon;decontamination_zone
PartOf;nbc_weapon;chemical_biological_threat
UsedFor;nbc_weapon;terrorist_attack
AtLocation;money_clip;crime_scene_evidence_locker
HasA;money_clip;hidden_tracking_device
IsA;money_clip;physical_evidence
LocatedNear;money_clip;stolen_goods
UsedFor;money_clip;money_laundering
AtLocation;computers_peripherals;cybercrime_lab
CapableOf;computers_peripherals;data_encryption
HasA;computers_peripherals;malware_storage
HasProperty;computers_peripherals;digitally_altered
IsA;computers_peripherals;digital_evidence
LocatedNear;computers_peripherals;hacking_toolkit
UsedFor;computers_peripherals;identity_theft
AtLocation;poison;toxicology_lab
CapableOf;poison;lethal_injection
Causes;poison;respiratory_failure
HasA;poison;antidote_suppressor
HasProperty;poison;highly_toxic
IsA;poison;lethal_substance
LocatedNear;poison;victim_autopsy
UsedFor;poison;premeditated_murder
AtLocation;cable;electrical_fire_scene
HasA;cable;faulty_insulation
IsA;cable;physical_evidence
LocatedNear;cable;burned_circuitry
UsedFor;cable;arson
AtLocation;nail_gun;crime_scene_workshop
CapableOf;nail_gun;firing_projectiles
Causes;nail_gun;penetrating_injuries
HasA;nail_gun;concealed_trigger
HasProperty;nail_gun;recently_fired
IsA;nail_gun;improvised_weapon
LocatedNear;nail_gun;victim_clothing
UsedFor;nail_gun;torture_device
AtLocation;weapons_carrier;armory_vault
CapableOf;weapons_carrier;transporting_firearms
HasA;weapons_carrier;hidden_compartments
HasProperty;weapons_carrier;reinforced_armor
IsA;weapons_carrier;military_equipment
PartOf;weapons_carrier;special_forces_gear
UsedFor;weapons_carrier;smuggling_firearms
AtLocation;tape_cassette;evidence_room
HasA;tape_cassette;encrypted_audio
IsA;tape_cassette;physical_evidence
UsedFor;tape_cassette;surveillance_recording
AtLocation;alcohol_vehicle;sobriety_checkpoint
CapableOf;alcohol_vehicle;intoxication
Causes;alcohol_vehicle;drunk_driving_accidents
HasProperty;alcohol_vehicle;open_containers
IsA;alcohol_vehicle;evidence_of_dui
UsedFor;alcohol_vehicle;underage_drinking
AtLocation;construction_vehicle;accident_scene
CapableOf;construction_vehicle;causing_catastrophic_damage
Causes;construction_vehicle;fatal_collisions
HasA;construction_vehicle;tampered_brakes
HasProperty;construction_vehicle;overloaded_cargo
IsA;construction_vehicle;potentially_lethal_machine
UsedFor;construction_vehicle;ramming_attack
AtLocation;hospital_bed;intensive_care_unit
UsedFor;hospital_bed;patient_restraint
LocatedNear;hospital_bed;medical_waste_container
UsedFor;pillow;smothering
HasA;pillow;concealed_compartment
LocatedNear;pillow;victim_body
UsedFor;car_key;vehicle_theft
HasA;car_key;hidden_tracker
LocatedNear;car_key;stolen_vehicle
UsedFor;grab_bag;burglary
HasA;grab_bag;lock_picking_tools
PartOf;grab_bag;theft_kit
UsedFor;data;identity_theft
HasA;data;encrypted_storage
Causes;data;financial_loss
AtLocation;knife_sharpener;crime_lab
CapableOf;knife_sharpener;hiding_evidence
Causes;knife_sharpener;laceration
HasA;knife_sharpener;concealed_blade
HasProperty;knife_sharpener;bloodstained_surface
IsA;knife_sharpener;murder_weapon
LocatedNear;knife_sharpener;victim_clothing
UsedFor;knife_sharpener;evidence_tampering
AtLocation;police_truck;crime_scene
CapableOf;police_truck;surveillance
HasA;police_truck;forensic_equipment
IsA;police_truck;law_enforcement_vehicle
LocatedNear;police_truck;emergency_response
PartOf;police_truck;crime_response_unit
UsedFor;police_truck;evidence_transport
AtLocation;perchloric_acid;hazardous_materials_storage
CapableOf;perchloric_acid;explosive_reaction
Causes;perchloric_acid;chemical_burn
HasProperty;perchloric_acid;corrosive_properties
IsA;perchloric_acid;hazardous_substance
UsedFor;perchloric_acid;illicit_drug_manufacturing
AtLocation;calcium_chloride;crime_scene_investigation
CapableOf;calcium_chloride;fingerprint_lifting
HasProperty;calcium_chloride;desiccant_properties
IsA;calcium_chloride;forensic_tool
UsedFor;calcium_chloride;evidence_preservation
AtLocation;blood;crime_scene
CapableOf;blood;dna_analysis
Causes;blood;exsanguination
HasProperty;blood;bloodstain_pattern
IsA;blood;biological_evidence
LocatedNear;blood;victim_wound
UsedFor;blood;forensic_analysis
AtLocation;baby_bed;infant_abduction_scene
HasA;baby_bed;hidden_storage_compartment
IsA;baby_bed;potential_evidence_container
LocatedNear;baby_bed;child_abuse_scene
UsedFor;baby_bed;concealment_of_evidence
AtLocation;paper_towel;bathroom_crime_scene
HasProperty;paper_towel;blood_soaked
LocatedNear;paper_towel;shredded_documents
UsedFor;paper_towel;cleaning_up_crime_scene
AtLocation;cocaine;narcotics_lab
CapableOf;cocaine;addiction_inducement
Causes;cocaine;cardiac_arrest
HasProperty;cocaine;cut_with_adulterants
IsA;cocaine;controlled_substance
PartOf;cocaine;drug_trafficking_operation
UsedFor;cocaine;illicit_distribution
AtLocation;computer_chip;cybercrime_laboratory
CapableOf;computer_chip;data_encryption
HasA;computer_chip;backdoor_vulnerability
IsA;computer_chip;digital_evidence
PartOf;computer_chip;malware_assembly
UsedFor;computer_chip;unauthorized_access
AtLocation;machine_gun;crime_scene
CapableOf;machine_gun;mass_casualty
Causes;machine_gun;gunshot_wound
HasA;machine_gun;silencer_attachment
HasProperty;machine_gun;fingerprint_residue
IsA;machine_gun;assault_weapon
LocatedNear;machine_gun;shell_casings
UsedFor;machine_gun;armed_robbery
AtLocation;body_art;morgue
IsA;body_art;tattoo_evidence
LocatedNear;body_art;victim_tattoo
UsedFor;body_art;gang_identification
AtLocation;firewall_device;cybercrime_lab
CapableOf;firewall_device;network_intrusion
HasA;firewall_device;backdoor_vulnerability
IsA;firewall_device;network_security_system
UsedFor;firewall_device;data_breach_prevention
AtLocation;sodium_sulfate;crime_scene_chemistry
UsedFor;sodium_sulfate;drug_synthesis
AtLocation;nonmilitary_weapon;homicide_scene
CapableOf;nonmilitary_weapon;blunt_force_trauma
Causes;nonmilitary_weapon;stab_wound
HasA;nonmilitary_weapon;concealed_blade
IsA;nonmilitary_weapon;lethal_weapon
UsedFor;nonmilitary_weapon;assault_with_a_deadly_weapon
AtLocation;agricultural_vehicle;rural_crime_scene
CapableOf;agricultural_vehicle;off_road_pursuit
Causes;agricultural_vehicle;fatal_collision
HasA;agricultural_vehicle;hidden_stash_compartment
HasProperty;agricultural_vehicle;altered_vehicle_identification_number
IsA;agricultural_vehicle;stolen_property
LocatedNear;agricultural_vehicle;abandoned_barn
UsedFor;agricultural_vehicle;smuggling_operations
AtLocation;biochemical_complex;forensic_laboratory
CapableOf;biochemical_complex;toxin_synthesis
Causes;biochemical_complex;neurological_damage
HasA;biochemical_complex;encrypted_formula
HasProperty;biochemical_complex;high_toxicity_level
IsA;biochemical_complex;biological_agent
UsedFor;biochemical_complex;bioterrorism_attack
AtLocation;calcium_hydroxide;crime_scene_evidence_locker
CapableOf;calcium_hydroxide;flesh_dissolution
Causes;calcium_hydroxide;severe_burns
HasProperty;calcium_hydroxide;corrosive_substance
IsA;calcium_hydroxide;hazardous_material
UsedFor;calcium_hydroxide;body_disposal
AtLocation;fission_weapon;high_security_facility
CapableOf;fission_weapon;mass_destruction
Causes;fission_weapon;nuclear_fallout
HasA;fission_weapon;nuclear_trigger_mechanism
HasProperty;fission_weapon;high_radiation_level
IsA;fission_weapon;weapon_of_mass_destruction
UsedFor;fission_weapon;nuclear_terrorism
AtLocation;powder;crime_lab
CapableOf;powder;conceal_fingerprints
Causes;powder;respiratory_distress
HasProperty;powder;trace_evidence
IsA;powder;illicit_substance
UsedFor;powder;evidence_tampering
AtLocation;arsenic_acid;hazardous_waste_facility
CapableOf;arsenic_acid;dissolve_bones
Causes;arsenic_acid;severe_burns
IsA;arsenic_acid;poisonous_chemical
UsedFor;arsenic_acid;body_disposal
AtLocation;bedroom_furniture;crime_scene
HasA;bedroom_furniture;hidden_compartment
LocatedNear;bedroom_furniture;victim_clothing
PartOf;bedroom_furniture;burglary_scene
UsedFor;bedroom_furniture;conceal_evidence
AtLocation;car_wax;forensic_garage
CapableOf;car_wax;obscure_fingerprints
UsedFor;car_wax;vehicle_tampering
AtLocation;stomach_acid;autopsy_room
Causes;stomach_acid;tissue_degradation
IsA;stomach_acid;biological_evidence
UsedFor;stomach_acid;poisoning_investigation
AtLocation;window_blind;crime_scene
CapableOf;window_blind;obstructing_view
LocatedNear;window_blind;broken_glass
UsedFor;window_blind;concealment
CapableOf;sodium_bicarbonate;neutralizing_poison
UsedFor;sodium_bicarbonate;illicit_substance_production
AtLocation;biological_weapon;high_security_facility
CapableOf;biological_weapon;mass_casualties
Causes;biological_weapon;pandemic
PartOf;biological_weapon;terrorist_arsenal
UsedFor;biological_weapon;bioterrorism
AtLocation;laptops;cybercrime_lab
CapableOf;laptops;data_breaches
HasA;laptops;encrypted_hard_drive
UsedFor;laptops;identity_theft
AtLocation;handset;prison_cell
CapableOf;handset;illicit_communication
HasA;handset;hidden_sim_card
UsedFor;handset;coordinating_heists
AtLocation;digital_art;cybercrime_lab
CapableOf;digital_art;intellectual_property_theft
HasA;digital_art;steganographic_storage
HasProperty;digital_art;encrypted_watermark
IsA;digital_art;electronic_evidence
UsedFor;digital_art;online_money_laundering
AtLocation;nonlethal_weapon;police_armory
CapableOf;nonlethal_weapon;incapacitation
Causes;nonlethal_weapon;temporary_paralysis
HasA;nonlethal_weapon;pepper_spray_cartridge
HasProperty;nonlethal_weapon;less_than_lethal_force
IsA;nonlethal_weapon;riot_control_device
UsedFor;nonlethal_weapon;crowd_control
AtLocation;raid_vehicle;tactical_operations_center
CapableOf;raid_vehicle;high_speed_pursuit
HasA;raid_vehicle;ballistic_armor_plating
HasProperty;raid_vehicle;reinforced_frame
IsA;raid_vehicle;specialized_law_enforcement_vehicle
UsedFor;raid_vehicle;hostage_rescue
AtLocation;weapon;crime_scene
CapableOf;weapon;lethal_force
Causes;weapon;fatal_injury
HasA;weapon;silencer_attachment
HasProperty;weapon;serial_number_removal
IsA;weapon;firearm_evidence
UsedFor;weapon;armed_robbery
AtLocation;lock;evidence_room
CapableOf;lock;restrict_access
HasA;lock;tamper_evidence
IsA;lock;physical_evidence
UsedFor;lock;secure_crime_scene
AtLocation;antibiotic_drug;forensic_laboratory
CapableOf;antibiotic_drug;mask_toxicity
Causes;antibiotic_drug;allergic_reaction
HasProperty;antibiotic_drug;expirated
IsA;antibiotic_drug;controlled_substance
UsedFor;antibiotic_drug;poisoning
AtLocation;conventional_weapon;crime_scene
CapableOf;conventional_weapon;inflict_injury
Causes;conventional_weapon;gunshot_wound
HasA;conventional_weapon;serial_number
IsA;conventional_weapon;lethal_weapon
UsedFor;conventional_weapon;homicide
AtLocation;shaping_tool;workshop
CapableOf;shaping_tool;create_improvised_weapon
HasA;shaping_tool;hidden_compartment
IsA;shaping_tool;burglary_tool
UsedFor;shaping_tool;break_and_enter
AtLocation;chemical_element;hazardous_materials_storage
CapableOf;chemical_element;cause_explosion
Causes;chemical_element;chemical_burn
HasProperty;chemical_element;flammable
IsA;chemical_element;hazardous_substance
UsedFor;chemical_element;manufacture_illicit_drugs
AtLocation;paraperiodic_acid;hazardous_waste_facility
CapableOf;paraperiodic_acid;tissue_degradation
Causes;paraperiodic_acid;chemical_burns
HasProperty;paraperiodic_acid;corrosive_residue
IsA;paraperiodic_acid;toxic_substance
UsedFor;paraperiodic_acid;evidence_tampering
AtLocation;auto_part;chop_shop
CapableOf;auto_part;vehicle_theft_facilitation
HasA;auto_part;hidden_tracking_device
IsA;auto_part;stolen_goods
UsedFor;auto_part;vehicle_modification_for_smuggling
AtLocation;multifuel_vehicle;smuggling_route
CapableOf;multifuel_vehicle;off_grid_operation
Causes;multifuel_vehicle;environmental_damage
HasProperty;multifuel_vehicle;illicit_fuel_storage
IsA;multifuel_vehicle;contraband_transportation_vehicle
UsedFor;multifuel_vehicle;human_trafficking
AtLocation;high_explosive;demolition_site
CapableOf;high_explosive;mass_casualty_event
Causes;high_explosive;blast_injuries
HasA;high_explosive;remote_detonation_system
IsA;high_explosive;terrorist_weapon
UsedFor;high_explosive;targeted_assassination
AtLocation;inorganic_compound;forensic_laboratory
CapableOf;inorganic_compound;poisoning
Causes;inorganic_compound;respiratory_failure
HasProperty;inorganic_compound;toxic_byproducts
IsA;inorganic_compound;hazardous_material
UsedFor;inorganic_compound;chemical_warfare
AtLocation;db50_connector;evidence_room
CapableOf;db50_connector;data_transmission
HasA;db50_connector;encrypted_interface
IsA;db50_connector;digital_evidence
UsedFor;db50_connector;data_exfiltration
AtLocation;towel;crime_scene
HasProperty;towel;bloodstained_fibers
LocatedNear;towel;victim_clothing
UsedFor;towel;evidence_wiping
AtLocation;phosphorous_acid;forensic_lab
CapableOf;phosphorous_acid;tissue_degradation
Causes;phosphorous_acid;chemical_burns
IsA;phosphorous_acid;corrosive_substance
UsedFor;phosphorous_acid;evidence_destruction
AtLocation;chlorous_acid;hazardous_waste_facility
CapableOf;chlorous_acid;organic_matter_dissolution
Causes;chlorous_acid;respiratory_damage
IsA;chlorous_acid;toxic
UsedFor;chlorous_acid;body_disposal
AtLocation;hydrogen_chloride;chemical_plant
CapableOf;hydrogen_chloride;metal_corrosion
Causes;hydrogen_chloride;skin_irritation
IsA;hydrogen_chloride;hazardous_gas
UsedFor;hydrogen_chloride;illicit_drug_production
AtLocation;explosive_device;demolition_site
CapableOf;explosive_device;inflicting_shrapnel_wounds
Causes;explosive_device;blast_injuries
HasA;explosive_device;detonator_circuit
HasProperty;explosive_device;unstable_chemical_composition
IsA;explosive_device;improvised_explosive
LocatedNear;explosive_device;ignition_source
MadeOf;explosive_device;plastic_explosive
PartOf;explosive_device;terrorist_attack_kit
UsedFor;explosive_device;mass_casualty_attack
AtLocation;garden_tool;crime_scene_perimeter
CapableOf;garden_tool;inflicting_blunt_force_trauma
UsedFor;garden_tool;evidence_tampering
AtLocation;maintenance_vehicle;surveillance_area
UsedFor;maintenance_vehicle;stakeout
CapableOf;butanoic_acid;flesh_decomposition
UsedFor;butanoic_acid;body_disposal
AtLocation;tape_deck;abandoned_crime_scene
UsedFor;tape_deck;evidence_recording
AtLocation;punch_bag;crime_scene_gym
CapableOf;punch_bag;inflicting_blunt_force
Causes;punch_bag;head_injury
HasA;punch_bag;weighted_core
HasProperty;punch_bag;bloodstained_surface
IsA;punch_bag;physical_evidence
LocatedNear;punch_bag;victim_body
UsedFor;punch_bag;assault_training
AtLocation;car_bombing;terrorist_target_zone
CapableOf;car_bombing;mass_casualty_event
Causes;car_bombing;explosive_injury
HasA;car_bombing;detonator_device
HasProperty;car_bombing;shrapnel_damage
IsA;car_bombing;terrorist_attack
LocatedNear;car_bombing;civilian
UsedFor;car_bombing;domestic_terrorism
AtLocation;pen_computer;cybercrime_laboratory
CapableOf;pen_computer;data_encryption
Causes;pen_computer;identity_theft
HasA;pen_computer;malware_software
HasProperty;pen_computer;encrypted_storage
IsA;pen_computer;digital_evidence
LocatedNear;pen_computer;hacker_toolkit
UsedFor;pen_computer;cyber_stalking
AtLocation;breakdown_truck;accident_scene
CapableOf;breakdown_truck;evidence_transport
HasA;breakdown_truck;forensic_equipment
HasProperty;breakdown_truck;secure_storage
IsA;breakdown_truck;forensic_vehicle
LocatedNear;breakdown_truck;crime_scene_tape
UsedFor;breakdown_truck;evidence_retrieval
AtLocation;opening_latch;burglary_scene
CapableOf;opening_latch;unlawful_entry
Causes;opening_latch;property_damage
HasA;opening_latch;lock_picking_tool
HasProperty;opening_latch;tampered_mechanism
IsA;opening_latch;burglary_tool
LocatedNear;opening_latch;point_of_entry
UsedFor;opening_latch;illicit_access
AtLocation;chemical_weapon;chemical_plant
CapableOf;chemical_weapon;mass_casualty
Causes;chemical_weapon;respiratory_failure
HasA;chemical_weapon;lethal_agent
HasProperty;chemical_weapon;high_toxicity
LocatedNear;chemical_weapon;hazardous_material
MadeOf;chemical_weapon;nerve_agent
PartOf;chemical_weapon;chemical_arsenal
UsedFor;chemical_weapon;bioterrorism
AtLocation;tabun_weapon;military_bunker
CapableOf;tabun_weapon;neurological_damage
Causes;tabun_weapon;convulsions
HasA;tabun_weapon;organophosphate_agent
HasProperty;tabun_weapon;high_persistence
IsA;tabun_weapon;chemical_munition
LocatedNear;tabun_weapon;contaminated_soil
MadeOf;tabun_weapon;phosphorus_compound
PartOf;tabun_weapon;chemical_warfare_system
UsedFor;tabun_weapon;chemical_warfare
AtLocation;portable_camera;crime_scene
CapableOf;portable_camera;surveillance
HasA;portable_camera;night_vision
HasProperty;portable_camera;high_resolution
IsA;portable_camera;forensic_tool
LocatedNear;portable_camera;physical_evidence
UsedFor;portable_camera;evidence_documentation
AtLocation;tool;burglary_scene
CapableOf;tool;forced_entry
HasA;tool;picking_mechanism
HasProperty;tool;wear_resistance
IsA;tool;burglary_tool
LocatedNear;tool;point_of_entry
UsedFor;tool;property_damage
AtLocation;loading_truck;smuggling_route
CapableOf;loading_truck;cargo_concealment
HasA;loading_truck;hidden_compartment
HasProperty;loading_truck;off_the_books_modification
IsA;loading_truck;contraband_vehicle
LocatedNear;loading_truck;border_crossing
UsedFor;loading_truck;illicit_goods_transportation
AtLocation;carpentry_tool;crime_scene_workshop
CapableOf;carpentry_tool;inflict_blunt_force
HasA;carpentry_tool;concealed_blade
IsA;carpentry_tool;improvised_weapon
UsedFor;carpentry_tool;evidence_tampering
AtLocation;cars;getaway_vehicle_parking
CapableOf;cars;high_speed_pursuit
Causes;cars;fatal_collision
HasA;cars;hidden_compartment
IsA;cars;stolen_vehicle
PartOf;cars;car_theft_ring
UsedFor;cars;smuggling_operations
AtLocation;wheelbarrow;backyard_burial_site
CapableOf;wheelbarrow;transporting_bodies
HasA;wheelbarrow;bloodstained_handle
IsA;wheelbarrow;evidence_of_burial
UsedFor;wheelbarrow;concealing_evidence
AtLocation;computer_printer;cybercrime_laboratory
CapableOf;computer_printer;producing_counterfeit_documents
HasA;computer_printer;encrypted_print_queue
IsA;computer_printer;digital_evidence
PartOf;computer_printer;identity_theft_operation
UsedFor;computer_printer;printing_phishing_letters
AtLocation;water_pistol;prison_riot_scene
CapableOf;water_pistol;inciting_riot
IsA;water_pistol;improvised_projectile_launcher
UsedFor;water_pistol;assaulting_authorities
AtLocation;putty_knife;crime_scene
CapableOf;putty_knife;pry_open_locks
Causes;putty_knife;lacerations
HasA;putty_knife;concealed_blade
IsA;putty_knife;burglary_tool
UsedFor;putty_knife;forced_entry
AtLocation;hide_beds;hiding_place
HasA;hide_beds;secret_storage
IsA;hide_beds;concealment_furniture
UsedFor;hide_beds;evidence_concealment
AtLocation;computer_ports;cybercrime_lab
CapableOf;computer_ports;data_exfiltration
HasA;computer_ports;malware_transmission
IsA;computer_ports;digital_evidence_source
UsedFor;computer_ports;network_infiltration
AtLocation;gun;shooting_scene
CapableOf;gun;firearm_discharge
Causes;gun;gunshot_wounds
HasA;gun;silencer_attachment
IsA;gun;firearm_evidence
UsedFor;gun;armed_robbery
AtLocation;miter_box;workshop_crime_scene
HasA;miter_box;hidden_tool_compartment
IsA;miter_box;carpentry_tool_evidence
UsedFor;miter_box;evidence_tampering
AtLocation;tablet;crime_scene
CapableOf;tablet;data_encryption
Causes;tablet;digital_evidence_destruction
HasA;tablet;secure_storage
HasProperty;tablet;encrypted_data
IsA;tablet;digital_evidence
LocatedNear;tablet;fingerprint_smudge
UsedFor;tablet;identity_theft
AtLocation;vm_poison;forensic_lab
CapableOf;vm_poison;system_compromise
Causes;vm_poison;data_corruption
HasA;vm_poison;malicious_code
HasProperty;vm_poison;stealthy_execution
IsA;vm_poison;malware
LocatedNear;vm_poison;network_traffic_log
UsedFor;vm_poison;cyber_attack
AtLocation;hand_grenade;crime_scene
CapableOf;hand_grenade;mass_casualty
Causes;hand_grenade;shrapnel_injury
HasA;hand_grenade;detonator
HasProperty;hand_grenade;explosive_yield
IsA;hand_grenade;lethal_weapon
LocatedNear;hand_grenade;blast_radius
UsedFor;hand_grenade;terrorist_attack
AtLocation;lethal_weapon;evidence_locker
CapableOf;lethal_weapon;fatal_injury
Causes;lethal_weapon;homicide
HasA;lethal_weapon;silencer
HasProperty;lethal_weapon;concealed_carry
IsA;lethal_weapon;firearm
LocatedNear;lethal_weapon;bullet_casing
UsedFor;lethal_weapon;armed_robbery
AtLocation;key_ring;investigation_room
CapableOf;key_ring;lock_picking
HasA;key_ring;hidden_key
HasProperty;key_ring;tarnished_metal
IsA;key_ring;physical_evidence
LocatedNear;key_ring;door_lock
UsedFor;key_ring;burglary
AtLocation;vx_poison;hazardous_waste_facility
CapableOf;vx_poison;induce_paralysis
Causes;vx_poison;respiratory_failure
HasA;vx_poison;high_toxicity_level
HasProperty;vx_poison;colorless
IsA;vx_poison;nerve_agent
LocatedNear;vx_poison;contaminated_soil
MadeOf;vx_poison;organophosphate_compound
PartOf;vx_poison;chemical_warfare_arsenal
UsedFor;vx_poison;bioterrorism_attack
AtLocation;vg_poison;secure_storage_facility
CapableOf;vg_poison;cause_seizures
Causes;vg_poison;cardiac_arrest
HasA;vg_poison;high_lethality_rate
HasProperty;vg_poison;highly_volatile
IsA;vg_poison;toxic_substance
LocatedNear;vg_poison;hazardous_materials_container
MadeOf;vg_poison;synthetic_toxin
PartOf;vg_poison;illicit_chemical_laboratory
UsedFor;vg_poison;targeted_assassination
AtLocation;pocket_knife;crime_scene_evidence
CapableOf;pocket_knife;inflict_stab_wounds
Causes;pocket_knife;blood_loss
HasA;pocket_knife;concealed_blade
HasProperty;pocket_knife;sharp_edge
IsA;pocket_knife;personal_weapon
LocatedNear;pocket_knife;victim_body
MadeOf;pocket_knife;high_carbon_steel
PartOf;pocket_knife;self_defense_kit
UsedFor;pocket_knife;close_quarter_combat
AtLocation;nissan_truck;stolen_vehicle_compound
CapableOf;nissan_truck;transport_illicit_goods
HasA;nissan_truck;hidden_compartment
IsA;nissan_truck;stolen_vehicle
LocatedNear;nissan_truck;abandoned_warehouse
PartOf;nissan_truck;smuggling_operation
UsedFor;nissan_truck;human_trafficking
AtLocation;garbage;crime_scene_dumpster
HasA;garbage;concealed_evidence
IsA;garbage;forensic_evidence
LocatedNear;garbage;investigation_area
UsedFor;garbage;evidence_disposal
AtLocation;methanol_vehicle;abandoned_warehouse
CapableOf;methanol_vehicle;high_speed_getaway
Causes;methanol_vehicle;toxic_exposure
HasA;methanol_vehicle;illicit_fuel_tank
HasProperty;methanol_vehicle;altered_vin
IsA;methanol_vehicle;clandestine_transport
LocatedNear;methanol_vehicle;stolen_goods
PartOf;methanol_vehicle;organized_crime_syndicate
UsedFor;methanol_vehicle;contraband
AtLocation;car_bomb;high_security_facility
CapableOf;car_bomb;mass_casualty_event
Causes;car_bomb;shrapnel_injuries
HasA;car_bomb;remote_detonation_system
HasProperty;car_bomb;concealed_explosives
IsA;car_bomb;improvised_explosive_device
LocatedNear;car_bomb;crowded_public_area
PartOf;car_bomb;terrorist_attack
UsedFor;car_bomb;targeted_assassination
AtLocation;naval_gun;military_base
CapableOf;naval_gun;long_range_artillery_fire
Causes;naval_gun;catastrophic_damage
HasA;naval_gun;advanced_fire_control_system
HasProperty;naval_gun;high_velocity_projectiles
IsA;naval_gun;heavy_military_equipment
LocatedNear;naval_gun;ammunition_storage
PartOf;naval_gun;naval_task_force
UsedFor;naval_gun;coastal_defense
AtLocation;cushion;crime_scene
UsedFor;cushion;blunt_force_trauma
AtLocation;sam_vehicle;military_checkpoint
CapableOf;sam_vehicle;anti_aircraft_fire
Causes;sam_vehicle;aircraft_destruction
HasA;sam_vehicle;surface_to_air_missile_system
HasProperty;sam_vehicle;advanced_radar_system
IsA;sam_vehicle;mobile_air_defense_system
LocatedNear;sam_vehicle;air_base_perimeter
PartOf;sam_vehicle;air_defense_battalion
UsedFor;sam_vehicle;aerial_interception
AtLocation;hypochlorous_acid;crime_lab
CapableOf;hypochlorous_acid;destroy_evidence
Causes;hypochlorous_acid;chemical_burns
HasProperty;hypochlorous_acid;corrosive
IsA;hypochlorous_acid;chemical_weapon
UsedFor;hypochlorous_acid;evidence_tampering
AtLocation;fuel_truck;arson_scene
CapableOf;fuel_truck;ignite_fires
Causes;fuel_truck;explosions
HasA;fuel_truck;illicit_fuel_tank
IsA;fuel_truck;incendiary_device
PartOf;fuel_truck;arson_ring
UsedFor;fuel_truck;terrorist_attack
AtLocation;demolition_weapon;bomb_site
CapableOf;demolition_weapon;level_buildings
Causes;demolition_weapon;mass_casualties
HasA;demolition_weapon;remote_detonator
PartOf;demolition_weapon;terrorist_arsenal
UsedFor;demolition_weapon;mass_destruction
AtLocation;mortgage_note;fraud_investigation
CapableOf;mortgage_note;financial_fraud
HasA;mortgage_note;forged_signature
IsA;mortgage_note;financial_evidence
PartOf;mortgage_note;ponzi_scheme
UsedFor;mortgage_note;identity_theft
AtLocation;nitrous_acid;chemical_plant
CapableOf;nitrous_acid;create_explosives
Causes;nitrous_acid;respiratory_failure
HasProperty;nitrous_acid;highly_toxic
IsA;nitrous_acid;chemical_precursor
UsedFor;nitrous_acid;illicit_drug_production
AtLocation;tradeable_security;evidence_locker
CapableOf;tradeable_security;money_laundering
IsA;tradeable_security;financial_evidence
UsedFor;tradeable_security;embezzlement
AtLocation;tartaric_acid;crime_lab
CapableOf;tartaric_acid;poisoning
Causes;tartaric_acid;respiratory_failure
UsedFor;tartaric_acid;body_disposal
AtLocation;chemical_object;hazardous_waste_site
CapableOf;chemical_object;explosive_reaction
HasProperty;chemical_object;toxic_residue
IsA;chemical_object;hazardous_material
UsedFor;chemical_object;illicit_drug_synthesis
AtLocation;bag;abandoned_warehouse
HasA;bag;hidden_pocket
LocatedNear;bag;victim_clothing
UsedFor;bag;evidence_concealment
AtLocation;rifle;crime_scene
CapableOf;rifle;long_range_shooting
Causes;rifle;gunshot_wound
HasA;rifle;silencer_attachment
IsA;rifle;firearm_evidence
PartOf;rifle;assault_kit
UsedFor;rifle;armed_robbery
AtLocation;typewriter_key;crime_scene_office
UsedFor;typewriter_key;forging_documents
AtLocation;luggage_organizer;smuggling_compartment
HasA;luggage_organizer;hidden_pouch
UsedFor;luggage_organizer;concealing_evidence
AtLocation;glock_pistol;homicide_scene
CapableOf;glock_pistol;inflicting_gunshot_wounds
Causes;glock_pistol;fatal_head_injury
IsA;glock_pistol;firearm_evidence
UsedFor;glock_pistol;armed_robbery
AtLocation;machine_tool;illicit_workshop
CapableOf;machine_tool;manufacturing_counterfeit_goods
PartOf;machine_tool;counterfeiting_operation
UsedFor;machine_tool;tampering_with_evidence
AtLocation;coffin;morgue_storage
HasProperty;coffin;altered_identification_tags
IsA;coffin;funerary_evidence
UsedFor;coffin;concealing_human_remains
AtLocation;luggage_space;evidence_room
CapableOf;luggage_space;conceal_evidence
HasA;luggage_space;hidden_compartment
IsA;luggage_space;smuggling_container
UsedFor;luggage_space;contraband_transport
AtLocation;czech_pistol;crime_scene
CapableOf;czech_pistol;fire_projectiles
Causes;czech_pistol;gunshot_wounds
HasA;czech_pistol;silencer_attachment
IsA;czech_pistol;firearm_evidence
UsedFor;czech_pistol;armed_robbery
AtLocation;ballot_box;voting_station
HasA;ballot_box;tamper_evident_seal
